users,event_type,country_code,no_categories,os,os_type,no_events,no_features
86,impbeacon,PK,77,"{""type"":""win"",""ver"":5}",win,26867,106907
6,impbeacon,PL,19,"{""type"":""win"",""ver"":1}",win,957,3258
33,impbeacon,PL,51,"{""type"":""win"",""ver"":4}",win,5365,21433
24,impbeacon,PR,47,"{""type"":""win"",""ver"":4}",win,3404,14510
1,impbeacon,PS,5,NULL,NULL,429,0
24,impbeacon,PT,46,"{""type"":""win"",""ver"":5}",win,2292,10061
11,impbeacon,QA,22,"{""type"":""win"",""ver"":5}",win,3400,14549
3,impbeacon,RE,7,"{""type"":""win"",""ver"":3}",win,86,348
117,impbeacon,RO,80,"{""type"":""win"",""ver"":5}",win,13231,56417
9,impbeacon,RS,37,"{""type"":""win"",""ver"":1}",win,5693,26096
52,impbeacon,RS,71,"{""type"":""win"",""ver"":4}",win,31141,136519
2,impbeacon,RU,1,"{""type"":""win"",""ver"":2}",win,2,2
819,impbeacon,RU,68,"{""type"":""win"",""ver"":5}",win,32691,25430
1,impbeacon,RW,1,NULL,NULL,10,0
1,impbeacon,SA,6,NULL,NULL,16,0
1,impbeacon,SA,1,"{""type"":""win"",""ver"":3}",win,1,5
6,impbeacon,SE,34,"{""type"":""win"",""ver"":5}",win,4933,19795
1,impbeacon,SG,8,"{""type"":""win"",""ver"":3}",win,322,77
7,impbeacon,SI,14,"{""type"":""win"",""ver"":4}",win,358,1524
9,impbeacon,SK,16,"{""type"":""win"",""ver"":5}",win,253,924
13,impbeacon,SN,40,"{""type"":""win"",""ver"":5}",win,2243,9038
1,impbeacon,SO,11,"{""type"":""win"",""ver"":4}",win,129,497
1,impbeacon,SR,9,"{""type"":""win"",""ver"":4}",win,66,300
1,impbeacon,TD,2,"{""type"":""win"",""ver"":5}",win,2,9
12,impbeacon,TH,25,"{""type"":""win"",""ver"":1}",win,1874,8144
119,impbeacon,TH,62,"{""type"":""win"",""ver"":4}",win,29238,128852
45,impbeacon,TN,79,"{""type"":""win"",""ver"":1}",win,29603,131201
204,impbeacon,TN,121,"{""type"":""win"",""ver"":4}",win,129687,586777
623,impbeacon,TR,116,NULL,NULL,104914,645
1,impbeacon,TR,3,"{""type"":""win"",""ver"":3}",win,27,135
3,impbeacon,TT,13,"{""type"":""win"",""ver"":4}",win,190,147
5,impbeacon,TW,14,"{""type"":""win"",""ver"":1}",win,432,1882
15,impbeacon,TW,28,"{""type"":""win"",""ver"":4}",win,2134,9073
8,impbeacon,TZ,25,"{""type"":""win"",""ver"":4}",win,1478,6088
15,impbeacon,UA,36,"{""type"":""win"",""ver"":1}",win,4248,17606
84,impbeacon,UA,77,"{""type"":""win"",""ver"":4}",win,32787,135883
3,impbeacon,UG,15,"{""type"":""win"",""ver"":4}",win,171,759
285,impbeacon,US,98,"{""type"":""win"",""ver"":1}",win,29816,102579
6895,impbeacon,US,190,"{""type"":""win"",""ver"":4}",win,757938,2570690
1,impbeacon,UY,6,"{""type"":""win"",""ver"":1}",win,67,291
12,impbeacon,UY,41,"{""type"":""win"",""ver"":4}",win,3450,15275
412,impbeacon,VE,121,"{""type"":""win"",""ver"":5}",win,109142,454340
18,impbeacon,VN,30,"{""type"":""win"",""ver"":5}",win,2745,11936
5,impbeacon,YT,44,"{""type"":""win"",""ver"":5}",win,1678,7307
53,impbeacon,ZA,72,"{""type"":""win"",""ver"":5}",win,11639,6016
1,impbeacon,ZM,7,"{""type"":""win"",""ver"":5}",win,168,752
2,impbeacon,ZW,7,"{""type"":""win"",""ver"":4}",win,47,218
